License_plate,Driver,Trailer,Phone,Haulier,Time,Date,Location,Transport,Department,Pay_type,Pay_amount,Sheet,Last_transport
HJ40203,Oscar Due,,+45 87290756,DACHSER,09:00,2026-02-09,DK-3100,,NAESJ,,0.0,1,
CP33535,Susanne Nørgaard,,+45 96037076,ATEA,12:30,2026-02-09,DK-6000,,NAESJ,,0.0,1,
NJ71685,Lone Fisker,,+45 62682261,XPO Logistics,09:00,2026-02-09,DK-2600,,NAESJ,,0.0,1,
EL90912,Morten Larsen,,+45 79854609,Compass,08:00,2026-02-17,DK-3600,,NAESJ,,0.0,1,
XG43352,Tina Carlsen,,+45 30262822,DACHSER,11:30,2026-02-20,DK-4900,,NAESJ,,0.0,1,
AM86498,Søren Olsen,,+45 87743859,Arcese,11:00,2026-02-19,DK-2700,,NAESJ,,0.0,1,
RX35607,Jens Due,,+45 86820171,C.H. Robinson,13:00,2026-02-17,DK-8600,,NAESJ,,0.0,1,
TR90687,Morten Svendsen,,+45 31210609,DSV ROAD A/S,13:30,2026-02-17,DK-9500,,NAESJ,,0.0,1,
FQ56385,Albert Hansen,,+45 23658018,ATEA,06:00,2026-02-20,DK-8700,,NAESJ,,0.0,1,
YP40228,Anders Juul,,+45 93725413,Erling E Christoffersen,12:30,2026-02-11,DK-2000,,NAESJ,,0.0,1,
DY35553,Frederik Møller,,+45 76740633,Hellmann Worldwide Logistics,10:30,2026-02-19,DK-3200,,NAESJ,,0.0,1,
NF47217,Marianne Bang,,+45 27937336,TN Transport A/S,10:00,2026-02-06,DK-2900,,NAESJ,,0.0,1,
TB67350,Anton Dahl,,+45 47173000,Torben Jørgensen Eftf. ApS,11:00,2026-02-10,DK-4900,,NAESJ,,0.0,1,
SC29134,Mette Bech,,+45 23025109,Jas Kurerservice,06:00,2026-02-12,DK-6500,,NAESJ,,0.0,1,
HF09485,William Berg,,+45 20865438,LKW Walter,11:00,2026-02-17,DK-3400,,NAESJ,,0.0,1,
NO57885,Gustav Vestergaard,,+45 35452832,Dilligencen ApS,13:00,2026-02-16,DK-4700,,NAESJ,,0.0,1,
MD40019,Lucas Eriksen,,+45 36401702,XPO Logistics,07:00,2026-02-17,DK-4500,,NAESJ,,0.0,1,
XG78634,Mikkel Pedersen,,+45 02602042,DHL Freight,09:30,2026-02-20,DK-4000,,NAESJ,,0.0,1,
RF20614,Søren Koch,,+45 94832241,BIH Trans,08:30,2026-02-17,DK-9500,,NAESJ,,0.0,1,
QW78328,Frederik Brandt,,+45 20318505,D S Promotion ApS,11:00,2026-02-09,DK-7500,,NAESJ,,0.0,1,
RM70976,Kirsten Winther,,+45 54013512,DHL Freight,09:30,2026-02-13,DK-6500,,NAESJ,,0.0,1,
CJ86016,Malte Juul,,+45 52600542,Arcese,10:00,2026-02-10,DK-3000,,NAESJ,,0.0,1,
ZG90117,Malte Winther,,+45 09454163,Arcese,10:00,2026-02-11,DK-3600,,NAESJ,,0.0,1,
VO80532,Kirsten Møller,,+45 37862526,C.H. Robinson,12:30,2026-02-10,DK-4100,,NAESJ,,0.0,1,
ZK72325,Peter Eriksen,,+45 34563908,Rc Transport ApS,13:00,2026-02-19,DK-7300,,NAESJ,,0.0,1,
LS44509,Lars Holm,,+45 20776535,BIH Trans,09:30,2026-02-20,DK-3500,,NAESJ,,0.0,1,
II76369,Jens Vestergaard,,+45 75039352,DACHSER,07:00,2026-02-18,DK-4000,,NAESJ,,0.0,1,
LX07439,Henrik Eriksen,,+45 59364481,DB Schenker,13:30,2026-02-09,DK-7900,,NAESJ,,0.0,1,
RT29963,Lars Svendsen,,+45 57660992,Compass,07:00,2026-02-16,DK-5000,,NAESJ,,0.0,1,
ZF13994,Henrik Rasmussen,,+45 27000233,ATEA,09:30,2026-02-17,DK-6100,,NAESJ,,0.0,1,
XU93181,Oscar Fisker,KX6893,+45 50423926,Torben Jørgensen Eftf. ApS,07:00,2026-02-13,DK-2700,,NAESJ,,0.0,1,
GH03944,Michael Carlsen,ZX1053,+45 38070454,DACHSER,11:30,2026-02-13,DK-5100,,NAESJ,,0.0,1,
AK29661,Jens Berg,EL8556,+45 50084898,The Kings Transport ApS,13:30,2026-02-10,DK-8100,,NAESJ,,0.0,1,
XF22482,Lucas Jørgensen,TW6243,+45 80498383,Kjærgaard og Kjærsgaard Distribution,12:30,2026-02-12,DK-5500,,NAESJ,,0.0,1,
GW26706,Gustav Svendsen,LA5025,+45 50690417,AK NEMT TRANSPORT APS,09:00,2026-02-18,DK-6700,,NAESJ,,0.0,1,
ZD35793,Elias Due,UG7501,+45 18065157,XPO Logistics,07:30,2026-02-12,DK-9100,,NAESJ,,0.0,1,
AK01633,Rasmus Poulsen,IS5767,+45 71161028,DB Schenker,10:00,2026-02-06,DK-3800,,NAESJ,,0.0,1,
QX76190,Tina Bech,QJ4438,+45 07197047,Erling E Christoffersen,09:00,2026-02-20,DK-3500,,NAESJ,,0.0,1,
XD08694,Gustav Koch,EH7791,+45 26139462,Arcese,13:00,2026-02-12,DK-2200,,NAESJ,,0.0,1,
ZT72676,Mathias Jørgensen,VW6483,+45 84412982,TN Transport A/S,07:00,2026-02-13,DK-6700,,NAESJ,,0.0,1,
WD12217,Elias Koch,XK3740,+45 23949994,DB Schenker,10:00,2026-02-13,DK-6400,,NAESJ,,0.0,1,
VA85318,Camilla Petersen,FC2709,+45 43085569,Girteka Logistics,07:00,2026-02-18,DK-7600,,NAESJ,,0.0,1,
UM54000,Peter Bach,WX9754,+45 01947977,Kuehne+Nagel,10:00,2026-02-06,DK-8300,,NAESJ,,0.0,1,
JG33850,William Petersen,ON9051,+45 41464929,ATEA,13:00,2026-02-10,DK-2100,,NAESJ,,0.0,1,
IW55439,Peter Juul,YQ7615,+45 99476225,Arcese,09:30,2026-02-13,DK-5600,,NAESJ,,0.0,1,
UI12581,Magnus Nørgaard,ZV0655,+45 47000119,DSV,07:30,2026-02-11,DK-8700,,NAESJ,,0.0,1,
GO41506,Emil Bang,PR5061,+45 69533878,LL-Transport ApS,11:30,2026-02-19,DK-8700,,NAESJ,,0.0,1,
SG90155,Magnus Dam,WO9079,+45 83782413,ATEA,09:30,2026-02-11,DK-3200,,NAESJ,,0.0,1,
QW51711,Anton Andersen,JZ6425,+45 18559083,Girteka Logistics,08:30,2026-02-13,DK-9300,,NAESJ,,0.0,1,
PT03983,Christian Poulsen,UQ8412,+45 60524417,Hellmann Worldwide Logistics,06:30,2026-02-19,DK-8700,,NAESJ,,0.0,1,
OT70376,Noah Due,OC3115,+45 01771341,Jas Kurerservice,07:30,2026-02-10,DK-2600,,NAESJ,,0.0,1,
